antecedents_str,consequents_str,support_pct,confidence_pct,lift,rule
specialty chocolate,citrus fruit,0.14,8.8,1.65,specialty chocolate -> citrus fruit
flour,tropical fruit,0.107,11.0,1.62,flour -> tropical fruit
beverages,sausage,0.154,9.3,1.54,beverages -> sausage
napkins,pastry,0.174,7.9,1.52,napkins -> pastry
processed cheese,root vegetables,0.107,10.5,1.51,processed cheese -> root vegetables
hard cheese,pip fruit,0.107,7.3,1.48,hard cheese -> pip fruit
soft cheese,yogurt,0.127,12.7,1.47,soft cheese -> yogurt
curd,sausage,0.294,8.7,1.45,curd -> sausage
detergent,yogurt,0.107,12.4,1.44,detergent -> yogurt
sugar,bottled water,0.147,8.3,1.37,sugar -> bottled water
white bread,canned beer,0.154,6.4,1.37,white bread -> canned beer
canned beer,brown bread,0.241,5.1,1.36,canned beer -> brown bread
chewing gum,yogurt,0.14,11.7,1.36,chewing gum -> yogurt
brown bread,canned beer,0.241,6.4,1.36,brown bread -> canned beer
sliced cheese,sausage,0.114,8.1,1.34,sliced cheese -> sausage
processed cheese,rolls/buns,0.147,14.5,1.32,processed cheese -> rolls/buns
candy,citrus fruit,0.1,7.0,1.31,candy -> citrus fruit
packaged fruit/vegetables,rolls/buns,0.12,14.2,1.29,packaged fruit/vegetables -> rolls/buns
seasonal products,rolls/buns,0.1,14.2,1.29,seasonal products -> rolls/buns
frozen meals,sausage,0.127,7.6,1.25,frozen meals -> sausage
herbs,yogurt,0.114,10.8,1.25,herbs -> yogurt
oil,soda,0.18,12.1,1.25,oil -> soda
cat food,tropical fruit,0.1,8.5,1.25,cat food -> tropical fruit
sliced cheese,root vegetables,0.12,8.6,1.23,sliced cheese -> root vegetables
specialty chocolate,tropical fruit,0.134,8.4,1.23,specialty chocolate -> tropical fruit
grapes,sausage,0.107,7.4,1.23,grapes -> sausage
frozen vegetables,sausage,0.207,7.4,1.23,frozen vegetables -> sausage
bottled beer,sausage,0.334,7.4,1.22,bottled beer -> sausage
sausage,bottled beer,0.334,5.5,1.22,sausage -> bottled beer
onions,whipped/sour cream,0.107,5.3,1.21,onions -> whipped/sour cream
