cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014-01,100.0,15.5,12.9,14.7,15.8,17.0,15.5,12.6,16.5,19.6,18.0,15.7,14.1,12.6,14.2,12.6,13.1,13.4,12.9,13.7,11.6,16.8,17.0,10.8
2014-02,100.0,13.2,15.6,18.6,18.4,18.4,15.0,13.6,17.8,14.6,13.8,15.8,14.8,14.4,12.1,16.6,11.5,13.0,13.6,14.2,11.3,15.8,13.6,
2014-03,100.0,13.8,18.9,16.6,14.7,18.6,14.9,13.8,14.5,13.8,13.8,10.7,13.5,10.7,14.0,13.1,13.8,15.2,12.1,13.3,11.9,15.9,,
2014-04,100.0,19.2,13.5,18.2,16.5,16.5,16.0,15.3,16.0,13.3,11.6,14.8,17.7,13.3,13.3,14.5,15.0,11.6,12.6,15.8,13.8,,,
2014-05,100.0,12.2,17.9,17.9,15.4,13.5,19.9,14.1,15.1,14.4,13.5,11.9,16.0,15.1,13.1,18.3,11.5,12.8,15.4,10.9,,,,
2014-06,100.0,13.8,16.5,13.8,15.0,14.6,15.0,15.4,12.2,13.8,13.4,12.6,12.6,11.4,14.2,13.0,15.4,12.6,13.8,,,,,
2014-07,100.0,14.0,17.3,13.6,15.0,13.6,16.4,12.6,11.7,16.4,17.3,13.1,10.7,18.7,13.6,14.5,10.7,12.1,,,,,,
2014-08,100.0,13.3,15.6,12.8,11.8,12.8,11.4,9.0,19.9,12.8,11.8,12.3,15.6,16.1,12.8,10.4,12.8,,,,,,,
2014-09,100.0,16.1,9.7,21.3,12.3,16.1,13.5,9.0,18.7,11.0,11.6,11.6,14.8,14.2,12.3,11.6,,,,,,,,
2014-10,100.0,12.1,13.6,10.0,12.1,10.7,12.1,17.9,15.0,13.6,12.9,15.7,15.0,12.1,14.3,,,,,,,,,
2014-11,100.0,19.6,12.5,22.3,8.0,14.3,11.6,13.4,14.3,13.4,17.9,8.9,15.2,10.7,,,,,,,,,,
2014-12,100.0,20.2,9.6,8.7,8.7,13.5,18.3,21.2,15.4,15.4,14.4,12.5,13.5,,,,,,,,,,,
2015-01,100.0,9.2,17.2,11.5,16.1,10.3,12.6,13.8,6.9,9.2,12.6,13.8,,,,,,,,,,,,
2015-02,100.0,17.2,17.2,12.5,10.9,14.1,18.8,10.9,15.6,15.6,9.4,,,,,,,,,,,,,
2015-03,100.0,5.6,5.6,7.4,13.0,11.1,3.7,11.1,13.0,13.0,,,,,,,,,,,,,,
2015-04,100.0,14.0,7.0,20.9,9.3,27.9,16.3,16.3,11.6,,,,,,,,,,,,,,,
2015-05,100.0,20.0,17.8,22.2,20.0,11.1,8.9,4.4,,,,,,,,,,,,,,,,
2015-06,100.0,26.3,18.4,21.1,10.5,10.5,10.5,,,,,,,,,,,,,,,,,
2015-07,100.0,10.0,6.7,13.3,13.3,6.7,,,,,,,,,,,,,,,,,,
2015-08,100.0,13.8,3.4,20.7,6.9,,,,,,,,,,,,,,,,,,,
2015-09,100.0,9.1,18.2,18.2,,,,,,,,,,,,,,,,,,,,
2015-10,100.0,9.5,9.5,,,,,,,,,,,,,,,,,,,,,
2015-11,100.0,11.8,,,,,,,,,,,,,,,,,,,,,,
2015-12,100.0,,,,,,,,,,,,,,,,,,,,,,,
