customer_id,order_date,product,first_order_date
1000,2014-06-24,whole milk,2014-06-24
1000,2014-06-24,pastry,2014-06-24
1000,2014-06-24,salty snack,2014-06-24
1000,2015-03-15,sausage,2014-06-24
1000,2015-03-15,whole milk,2014-06-24
1000,2015-03-15,semi-finished bread,2014-06-24
1000,2015-03-15,yogurt,2014-06-24
1000,2015-05-27,soda,2014-06-24
1000,2015-05-27,pickled vegetables,2014-06-24
1000,2015-07-24,canned beer,2014-06-24
1000,2015-07-24,misc. beverages,2014-06-24
1000,2015-11-25,sausage,2014-06-24
1000,2015-11-25,hygiene articles,2014-06-24
1001,2014-02-07,sausage,2014-02-07
1001,2014-02-07,whole milk,2014-02-07
1001,2014-02-07,rolls/buns,2014-02-07
1001,2014-12-12,whole milk,2014-02-07
1001,2014-12-12,soda,2014-02-07
1001,2015-01-20,frankfurter,2014-02-07
1001,2015-01-20,soda,2014-02-07
1001,2015-01-20,whipped/sour cream,2014-02-07
1001,2015-04-14,beef,2014-02-07
1001,2015-04-14,white bread,2014-02-07
1001,2015-05-02,frankfurter,2014-02-07
1001,2015-05-02,curd,2014-02-07
1002,2014-02-09,frozen vegetables,2014-02-09
1002,2014-02-09,other vegetables,2014-02-09
1002,2014-04-26,butter,2014-02-09
1002,2014-04-26,whole milk,2014-02-09
1002,2015-04-26,tropical fruit,2014-02-09
1002,2015-04-26,sugar,2014-02-09
1002,2015-08-30,butter milk,2014-02-09
1002,2015-08-30,specialty chocolate,2014-02-09
1003,2014-01-19,frozen meals,2014-01-19
1003,2014-01-19,dental care,2014-01-19
1003,2014-02-27,rolls/buns,2014-01-19
1003,2014-02-27,rolls/buns,2014-01-19
1003,2014-10-15,root vegetables,2014-01-19
1003,2014-10-15,detergent,2014-01-19
1003,2015-02-10,sausage,2014-01-19
1003,2015-02-10,rolls/buns,2014-01-19
1004,2014-02-04,pip fruit,2014-02-04
1004,2014-02-04,whole milk,2014-02-04
1004,2014-02-04,tropical fruit,2014-02-04
1004,2014-05-01,dish cleaner,2014-02-04
1004,2014-05-01,cling film/bags,2014-02-04
1004,2014-06-10,rolls/buns,2014-02-04
1004,2014-06-10,red/blush wine,2014-02-04
1004,2014-06-10,chocolate,2014-02-04
1004,2014-07-01,canned beer,2014-02-04
1004,2014-07-01,frozen fish,2014-02-04
1004,2014-07-10,other vegetables,2014-02-04
1004,2014-07-10,shopping bags,2014-02-04
1004,2014-08-19,root vegetables,2014-02-04
1004,2014-08-19,whole milk,2014-02-04
1004,2014-08-19,pastry,2014-02-04
1004,2014-10-13,whole milk,2014-02-04
1004,2014-10-13,chocolate,2014-02-04
1004,2014-10-13,packaged fruit/vegetables,2014-02-04
1004,2014-10-13,rolls/buns,2014-02-04
1004,2015-12-02,other vegetables,2014-02-04
1004,2015-12-02,hygiene articles,2014-02-04
1005,2014-01-09,rolls/buns,2014-01-09
1005,2014-01-09,rolls/buns,2014-01-09
