customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_Score,segment,first_category,outcome
1000,2015-11-25,5,13,36,5,4,4,13,Champion,Meat & Snacks,Retained High-Value
1001,2015-05-02,5,12,243,2,4,4,10,Loyal,Meat & Snacks,Retained
1002,2015-08-30,4,8,123,3,3,2,8,Potential,Fresh Produce,Retained
1003,2015-02-10,4,8,324,2,3,2,7,Potential,Other,Retained
1004,2015-12-02,8,21,29,5,5,5,15,Champion,Fresh Produce,Retained High-Value
1005,2014-01-23,2,4,707,1,1,1,3,Churned,Bakery & Grains,Churned
1006,2015-06-14,4,15,200,2,3,5,10,Loyal,Dairy,Retained
1008,2015-10-03,2,12,89,4,1,4,9,Potential,Fresh Produce,Retained
1009,2015-10-05,4,9,87,4,3,3,10,Loyal,Other,Retained
1010,2015-07-31,5,12,153,3,4,4,11,Loyal,Fresh Produce,Retained
1011,2015-12-09,3,13,22,5,2,4,11,Loyal,Bakery & Grains,Retained
1012,2015-11-19,4,11,42,5,3,3,11,Loyal,Other,Retained
1013,2015-10-02,8,19,90,4,5,5,14,Champion,Beverages,Retained High-Value
1014,2015-10-03,4,10,89,4,3,3,10,Loyal,Other,Retained
1015,2015-05-04,3,7,241,2,2,2,6,Churned,Bakery & Grains,Churned
1016,2015-10-05,4,11,87,4,3,3,10,Loyal,Fresh Produce,Retained
1017,2015-09-30,5,11,92,4,4,3,11,Loyal,Fresh Produce,Retained
1018,2015-05-23,4,8,222,2,3,2,7,Potential,Other,Retained
1019,2014-12-10,1,2,386,1,1,1,3,Churned,Other,Churned
1020,2015-10-13,3,10,79,4,2,3,9,Potential,Dairy,Retained
1021,2015-11-07,3,8,54,4,2,2,8,Potential,Dairy,Retained
1022,2014-06-07,3,6,572,1,2,2,5,Churned,Meat & Snacks,Churned
1023,2015-06-28,6,17,186,3,5,5,13,Champion,Other,Retained High-Value
1024,2015-08-10,1,4,143,3,1,1,5,At-Risk,Fresh Produce,Churned
1025,2015-08-19,3,6,134,3,2,2,7,Potential,Beverages,Retained
1026,2015-05-28,5,17,217,2,4,5,11,Loyal,Meat & Snacks,Retained
1027,2015-05-17,4,9,228,2,3,3,8,Potential,Other,Retained
1028,2015-07-11,5,13,173,3,4,4,11,Loyal,Bakery & Grains,Retained
1029,2015-03-14,1,2,292,2,1,1,4,Churned,Other,Churned
1031,2015-10-15,3,7,77,4,2,2,8,Potential,Other,Retained
1032,2015-08-23,5,16,130,3,4,5,12,Loyal,Other,Retained
1033,2015-06-15,5,12,199,2,4,4,10,Loyal,Bakery & Grains,Retained
1034,2014-05-13,3,9,597,1,2,3,6,Churned,Fresh Produce,Churned
1035,2015-09-08,5,14,114,3,4,4,11,Loyal,Dairy,Retained
1036,2014-01-20,1,2,710,1,1,1,3,Churned,Other,Churned
1037,2015-12-16,3,10,15,5,2,3,10,Loyal,Other,Retained
1038,2015-12-14,6,19,17,5,5,5,15,Champion,Other,Retained High-Value
1039,2015-05-31,1,2,214,2,1,1,4,Churned,Meat & Snacks,Churned
1040,2015-11-26,4,11,35,5,3,3,11,Loyal,Bakery & Grains,Retained
1041,2015-04-02,4,10,273,2,3,3,8,Potential,Other,Retained
1042,2015-10-16,3,6,76,4,2,2,8,Potential,Other,Retained
1043,2015-01-10,3,8,355,1,2,2,5,Churned,Fresh Produce,Churned
1044,2015-10-25,2,4,67,4,1,1,6,At-Risk,Fresh Produce,Churned
1045,2015-11-25,3,9,36,5,2,3,10,Loyal,Dairy,Retained
1046,2015-06-24,2,4,190,2,1,1,4,Churned,Bakery & Grains,Churned
1047,2015-08-09,3,6,144,3,2,2,7,Potential,Beverages,Retained
1048,2015-10-18,2,6,74,4,1,2,7,Potential,Beverages,Retained
1049,2015-09-05,4,8,117,3,3,2,8,Potential,Other,Retained
1050,2015-05-04,6,14,241,2,5,4,11,Loyal,Other,Retained
1051,2015-11-10,6,20,51,4,5,5,14,Champion,Beverages,Retained High-Value
1052,2015-10-27,10,27,65,4,5,5,14,Champion,Meat & Snacks,Retained High-Value
1053,2015-07-09,6,12,175,3,5,4,12,Loyal,Beverages,Retained
1054,2015-10-21,4,9,71,4,3,3,10,Loyal,Fresh Produce,Retained
1055,2015-05-25,2,6,220,2,1,2,5,Churned,Meat & Snacks,Churned
1056,2015-11-09,3,6,52,4,2,2,8,Potential,Other,Retained
